TimeGenerated,InitiatingProcessAccountName,InitiatingProcessCommandLine,RegistryKey,RegistryValueName,RegistryValueData,DeviceName
"Sep 12, 2026 5:52:17 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements\25000004,,,sql-labuser
"Sep 12, 2026 5:52:17 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements\24000001,,,sql-labuser
"Sep 12, 2026 5:52:17 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements,,,sql-labuser
"Sep 12, 2026 5:52:17 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Description,,,sql-labuser
"Sep 12, 2026 5:52:17 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba},,,sql-labuser
"Sep 12, 2026 5:52:17 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 5:52:17 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 5:52:17 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 5:52:17 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 5:52:17 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 5:52:17 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{0c5b8103-93d0-11f1-8f67-806e6f6e6963}\Elements\11000001,,,sql-labuser
"Sep 12, 2026 5:52:17 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 5:52:17 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{9dea862c-5cdd-4e70-acc1-f32b344d4795}\Elements\12000002,,,sql-labuser
"Sep 12, 2026 5:52:17 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 5:52:17 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{9dea862c-5cdd-4e70-acc1-f32b344d4795}\Elements\11000001,,,sql-labuser
"Sep 12, 2026 5:52:17 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 5:52:17 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements\25000004,,,sql-labuser
"Sep 12, 2026 5:52:17 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements\24000001,,,sql-labuser
"Sep 12, 2026 5:52:17 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements,,,sql-labuser
"Sep 12, 2026 5:52:17 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Description,,,sql-labuser
"Sep 12, 2026 5:52:17 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba},,,sql-labuser
"Sep 12, 2026 5:52:17 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 5:52:17 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 5:52:17 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 5:52:17 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 5:52:17 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 5:52:17 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{0c5b8103-93d0-11f1-8f67-806e6f6e6963}\Elements\11000001,,,sql-labuser
"Sep 12, 2026 5:52:17 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 5:52:17 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{9dea862c-5cdd-4e70-acc1-f32b344d4795}\Elements\12000002,,,sql-labuser
"Sep 12, 2026 5:52:17 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 5:52:17 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{9dea862c-5cdd-4e70-acc1-f32b344d4795}\Elements\11000001,,,sql-labuser
"Sep 12, 2026 5:52:17 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 5:52:16 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements\25000004,,,sql-labuser
"Sep 12, 2026 5:52:16 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements\24000001,,,sql-labuser
"Sep 12, 2026 5:52:16 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements,,,sql-labuser
"Sep 12, 2026 5:52:16 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Description,,,sql-labuser
"Sep 12, 2026 5:52:16 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba},,,sql-labuser
"Sep 12, 2026 5:52:16 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 5:52:16 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 5:52:16 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 5:52:16 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 5:52:16 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 5:52:16 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{0c5b8103-93d0-11f1-8f67-806e6f6e6963}\Elements\11000001,,,sql-labuser
"Sep 12, 2026 5:52:16 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 5:52:16 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{9dea862c-5cdd-4e70-acc1-f32b344d4795}\Elements\12000002,,,sql-labuser
"Sep 12, 2026 5:52:16 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 5:52:16 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{9dea862c-5cdd-4e70-acc1-f32b344d4795}\Elements\11000001,,,sql-labuser
"Sep 12, 2026 5:52:16 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 4:52:10 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements\25000004,,,sql-labuser
"Sep 12, 2026 4:52:10 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements\24000001,,,sql-labuser
"Sep 12, 2026 4:52:10 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements,,,sql-labuser
"Sep 12, 2026 4:52:10 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Description,,,sql-labuser
"Sep 12, 2026 4:52:10 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba},,,sql-labuser
"Sep 12, 2026 4:52:10 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 4:52:10 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 4:52:10 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 4:52:10 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 4:52:10 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 4:52:10 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{0c5b8103-93d0-11f1-8f67-806e6f6e6963}\Elements\11000001,,,sql-labuser
"Sep 12, 2026 4:52:10 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 4:52:10 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{9dea862c-5cdd-4e70-acc1-f32b344d4795}\Elements\12000002,,,sql-labuser
"Sep 12, 2026 4:52:10 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 4:52:10 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{9dea862c-5cdd-4e70-acc1-f32b344d4795}\Elements\11000001,,,sql-labuser
"Sep 12, 2026 4:52:10 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 4:52:10 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements\25000004,,,sql-labuser
"Sep 12, 2026 4:52:10 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements\24000001,,,sql-labuser
"Sep 12, 2026 4:52:10 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements,,,sql-labuser
"Sep 12, 2026 4:52:10 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Description,,,sql-labuser
"Sep 12, 2026 4:52:10 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba},,,sql-labuser
"Sep 12, 2026 4:52:10 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 4:52:10 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 4:52:10 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 4:52:10 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 4:52:10 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 4:52:10 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{0c5b8103-93d0-11f1-8f67-806e6f6e6963}\Elements\11000001,,,sql-labuser
"Sep 12, 2026 4:52:10 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 4:52:10 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{9dea862c-5cdd-4e70-acc1-f32b344d4795}\Elements\12000002,,,sql-labuser
"Sep 12, 2026 4:52:10 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 4:52:10 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{9dea862c-5cdd-4e70-acc1-f32b344d4795}\Elements\11000001,,,sql-labuser
"Sep 12, 2026 4:52:10 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 4:52:08 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements\25000004,,,sql-labuser
"Sep 12, 2026 4:52:08 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements\24000001,,,sql-labuser
"Sep 12, 2026 4:52:08 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements,,,sql-labuser
"Sep 12, 2026 4:52:08 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Description,,,sql-labuser
"Sep 12, 2026 4:52:08 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba},,,sql-labuser
"Sep 12, 2026 4:52:08 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 4:52:08 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 4:52:08 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 4:52:08 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 4:52:08 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 4:52:08 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{0c5b8103-93d0-11f1-8f67-806e6f6e6963}\Elements\11000001,,,sql-labuser
"Sep 12, 2026 4:52:08 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 4:52:08 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{9dea862c-5cdd-4e70-acc1-f32b344d4795}\Elements\12000002,,,sql-labuser
"Sep 12, 2026 4:52:08 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 4:52:08 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{9dea862c-5cdd-4e70-acc1-f32b344d4795}\Elements\11000001,,,sql-labuser
"Sep 12, 2026 4:52:08 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 3:52:01 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements\25000004,,,sql-labuser
"Sep 12, 2026 3:52:01 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements\24000001,,,sql-labuser
"Sep 12, 2026 3:52:01 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements,,,sql-labuser
"Sep 12, 2026 3:52:01 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Description,,,sql-labuser
"Sep 12, 2026 3:52:01 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba},,,sql-labuser
"Sep 12, 2026 3:52:01 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 3:52:01 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 3:52:01 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 3:52:01 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 3:52:01 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 3:52:01 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{0c5b8103-93d0-11f1-8f67-806e6f6e6963}\Elements\11000001,,,sql-labuser
"Sep 12, 2026 3:52:01 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 3:52:01 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{9dea862c-5cdd-4e70-acc1-f32b344d4795}\Elements\12000002,,,sql-labuser
"Sep 12, 2026 3:52:01 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 3:52:01 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{9dea862c-5cdd-4e70-acc1-f32b344d4795}\Elements\11000001,,,sql-labuser
"Sep 12, 2026 3:52:01 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 3:52:01 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements\25000004,,,sql-labuser
"Sep 12, 2026 3:52:01 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements\24000001,,,sql-labuser
"Sep 12, 2026 3:52:01 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements,,,sql-labuser
"Sep 12, 2026 3:52:01 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Description,,,sql-labuser
"Sep 12, 2026 3:52:01 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba},,,sql-labuser
"Sep 12, 2026 3:52:01 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 3:52:01 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 3:52:01 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 3:52:01 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 3:52:01 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 3:52:01 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{0c5b8103-93d0-11f1-8f67-806e6f6e6963}\Elements\11000001,,,sql-labuser
"Sep 12, 2026 3:52:01 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 3:52:01 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{9dea862c-5cdd-4e70-acc1-f32b344d4795}\Elements\12000002,,,sql-labuser
"Sep 12, 2026 3:52:01 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 3:52:01 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{9dea862c-5cdd-4e70-acc1-f32b344d4795}\Elements\11000001,,,sql-labuser
"Sep 12, 2026 3:52:01 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 3:52:00 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements\25000004,,,sql-labuser
"Sep 12, 2026 3:52:00 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements\24000001,,,sql-labuser
"Sep 12, 2026 3:52:00 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements,,,sql-labuser
"Sep 12, 2026 3:52:00 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Description,,,sql-labuser
"Sep 12, 2026 3:52:00 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba},,,sql-labuser
"Sep 12, 2026 3:52:00 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 3:52:00 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 3:52:00 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 3:52:00 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 3:52:00 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 3:52:00 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{0c5b8103-93d0-11f1-8f67-806e6f6e6963}\Elements\11000001,,,sql-labuser
"Sep 12, 2026 3:52:00 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 3:52:00 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{9dea862c-5cdd-4e70-acc1-f32b344d4795}\Elements\12000002,,,sql-labuser
"Sep 12, 2026 3:52:00 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 3:52:00 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{9dea862c-5cdd-4e70-acc1-f32b344d4795}\Elements\11000001,,,sql-labuser
"Sep 12, 2026 3:52:00 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 3:23:33 PM",system,MsSense.exe,,,,sql-labuser
"Sep 12, 2026 3:23:23 PM",system,MsSense.exe,,,,sql-labuser
"Sep 12, 2026 3:15:04 PM",system,MsSense.exe,,,,sql-labuser
"Sep 12, 2026 2:51:53 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements\25000004,,,sql-labuser
"Sep 12, 2026 2:51:53 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements\24000001,,,sql-labuser
"Sep 12, 2026 2:51:53 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements,,,sql-labuser
"Sep 12, 2026 2:51:53 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Description,,,sql-labuser
"Sep 12, 2026 2:51:53 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba},,,sql-labuser
"Sep 12, 2026 2:51:53 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 2:51:53 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 2:51:53 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 2:51:53 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 2:51:53 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 2:51:53 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{0c5b8103-93d0-11f1-8f67-806e6f6e6963}\Elements\11000001,,,sql-labuser
"Sep 12, 2026 2:51:53 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 2:51:53 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{9dea862c-5cdd-4e70-acc1-f32b344d4795}\Elements\12000002,,,sql-labuser
"Sep 12, 2026 2:51:53 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 2:51:53 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{9dea862c-5cdd-4e70-acc1-f32b344d4795}\Elements\11000001,,,sql-labuser
"Sep 12, 2026 2:51:53 PM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 12, 2026 2:51:53 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements\25000004,,,sql-labuser
"Sep 12, 2026 2:51:53 PM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements\24000001,,,sql-labuser
